,answers,id,questions,target_answers,score,correct
19,soul ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
20,People. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
21,The context of which it reads ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,4.5,1.0
22,At the level of interpretation of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,4.5,1.0
23,The mind ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
24,The soul ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
25,"The mind of the reader, since the waves represent the new knowledge that the reader can acquire when reading as long as his mind before knowledge ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,4.5,1.0
26,The soul of the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
27,the imagination ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,1.0
28,"The pond refers to the magnitude of the word, or what it is express and to generate an effect on the author should depend on what you are expressing. ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.5,0.0
29,the soul ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
30,How open this one receives the ideas of the writer ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,4.0,1.0
31,The soul that reads ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
32,The understanding ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
33,Is Brett on @ u nino Rit. Amount. Co ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,0.0,0.0
34,To the place where the waves move ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
35,Imagination ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,1.0
36,The mind of the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
37,The situation of the person receiving the message. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
38,The imagination ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,1.0
39,Refers to the person who reads ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,0.0
40,The soul of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
41,The soul / heart. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
42,Alma. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
43,The ability to acquire knowledge ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
44,"The reasoning of the receptor, who is aimed at ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,4.0,1.0
45,All action has reaction between larger is the greater applied force is the reaction ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
46,"The pond refers to the capacity, or the disposition of the human being in expanding its knowledge. ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
47,What the author gives the reader and everything that can quench in it depends on his dimensions ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,1.0
48,Message ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
49,"It refers to the mind, to thought ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
50,The understanding of the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,4.0,1.0
51,The universe ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
52,The place where the soul is stored. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.0,0.0
53,The pond will be the intellectual capacity that the reader has. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,1.0
54,How the reader thinks ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
55,The reader's interest towards what the writer says ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
56,Alma ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
57,The reader's arrangement to capture the message transmitted by the writer. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
58,"The writers are responsible for telling fragments of stories to their readers to work and feed the mind and soul, however, said messages will arrive if the reader opens his mind and this is ready to receive it. ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
59,To the soul of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
60,The impact of the phrase in the reader depends on his own interpretation of this. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,4.0,1.0
61,The knowledge of the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
62,The acceptance capacity of the person receiving the information ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
63,"The more open your soul, more people can reach ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
64,to the sentences ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.5,0.0
65,"Being, since this is the container of the soul ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
66,To the perspective of life ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
67,To intellectual capacity ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
68,The size ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
69,The reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
70,That both the reader learns ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
71,That the reader must have an open mind to learn about writers. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
72,A text ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
73,The soul of a person. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
74,The intellectual and emotional capacity of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
75,That the scope of the sentences will depend on the type of audience to whom it is addressed or aim. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.5,0.0
76,tank ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,0.0,0.0
77,Problem ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,0.0,0.0
78,The mind. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
79,The compression of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
80,Person ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
81,That what we write is reflected in the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
82,The mind of the person ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
83,The impact of what is read depends on each person. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
84,He writer makes the reader want to read. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
85,An object with certain dimensions. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
86,knowledge ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
87,To the space where the waves are given ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,0.0,0.0
88,The mental capacity of the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,1.0
89,That the interpretation and total reaction of a text does not depend on the author but the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,1.0
90,Mind. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
91,The size of the soul of the person ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
92,The disturbance of water ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,0.0,0.0
93,Our mind or thoughts ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,1.0
94,To the heart ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
95,It depends on how deep and analytical the texts will be thus will impact the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.5,0.0
96,The impact that your phrases can cause in the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.0,0.0
97,The reader and his soul ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
98,The heart or soul of the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
99,The impact of the received message depends on the same receiver. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
100,Each phrase has a different impact based on whoever interprets it ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,1.0
101,"With pond it refers to the way of a person to welcome the phrases and the space where those waves flowed, the waves reached as far as the pond allows it. ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
102,Sometimes the author's message can be impact more deeply depending on our current situation. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
103,To the size of the soul of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,0.0
104,How deep can the message be for the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,1.0
105,The knowledge of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
106,With waves it refers to what those words affect them affect. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,1.0
107,The ability to understand and analyze depends on the reader's level of learning. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
108,Soul. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
109,The way the reader writes a book are messages that come from who reads them depending on what he is in his soul and heart ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
110,It refers to how educated the reader is ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.0,0.0
111,The goodness of people ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
112,To the soul. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
113,The understanding of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
114,The scope of the reader's understanding ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
115,"Just as he writes, thus impact. ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
116,The learning capacity of each reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
117,"The mind. The mind enters the mind, the phrases will have a greater reach ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
118,A phrase can change a person like a stone disturbs a lake ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,1.0,0.0
119,The pond refers to the ability to understand the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
120,Knowledge ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
121,The pond refers to the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,0.0
122,The alme of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
123,The size of the soul of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
124,It depends on us internalize information ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
125,"Object that contains something, soul. ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
126,The consciousness of the person. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
127,Interest / taste of the reader ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
128,The knowledge that a writer transmits through his sentences will transcend depending on how his wisdom is transmitted. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.0,0.0
129,Soul ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
130,The imagination of the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
131,The pond refers to the soul of the reader. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
132,"The mind, soul or the interior of the reader ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
133,The impact of the writer's thought in the soul of the reader depends on how he is being able to be able to internalize him. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,0.0
134,It depends on the reader its ability to understand the text. ,1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.5,1.0
135,"To a person, the value in it or their capabilities ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,2.5,0.0
136,"It depends on ourselves, and the compression capacity we have, how much the information that a text offers us. ",1,"The phrases are pebbles that the writer throws in the soul of the reader. The diameter of the concentric waves that move depends on the dimensions of the pond. According to the text, the pond refers to ",The reader's world ,3.0,0.0
137,Love goes beyond death and that is reflected in life ,2,Love is a deadly sample of immortality. Of the text it is inferred that ,The essence of eternity is reflected in earthly love ,5.0,1.0
138,May love being an eternal concept we have the opportunity to enjoy it in our finitude. ,2,Love is a deadly sample of immortality. Of the text it is inferred that ,The essence of eternity is reflected in earthly love ,3.5,1.0
139,"Love is forever, while who feel it does not ",2,Love is a deadly sample of immortality. Of the text it is inferred that ,The essence of eternity is reflected in earthly love ,2.5,0.0
140,Love seems infinite ,2,Love is a deadly sample of immortality. Of the text it is inferred that ,The essence of eternity is reflected in earthly love ,3.0,0.0
141,True love is forever ,2,Love is a deadly sample of immortality. Of the text it is inferred that ,The essence of eternity is reflected in earthly love ,2.5,0.0
142,"That although love is a feeling of mortals, it feels until after death. ",2,Love is a deadly sample of immortality. Of the text it is inferred that ,The essence of eternity is reflected in earthly love ,3.5,1.0
143,"Love exceeds the carnal, stays and is eternal ",2,Love is a deadly sample of immortality. Of the text it is inferred that ,The essence of eternity is reflected in earthly love ,3.0,1.0
144,Infinity ,2,Love is a deadly sample of immortality. Of the text it is inferred that ,The essence of eternity is reflected in earthly love ,1.0,0.0
