,answer,id,score,correct,questions,target_answers
45,Toda acción tiene reaccion entre mas grande es la fuerza aplicada mayor es la reaccion,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
46,"El estanque se refiere a la capacidad, o la disposición del ser humano en ampliar su conocimiento.",1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
47,Lo que el autor le aporta al lector y todo aquello que puede cuásar en él depende de sus dimensiones,1,3.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
48,Mensaje,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
49,"Se refiere a la mente, al pensamiento",1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
50,El entendimiento del lector.,1,4.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
51,El universo,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
52,El lugar donde se almacena el alma.,1,2.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
53,El estanque será la capacidad intelectual que tenga el lector.,1,3.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
54,Cómo  piensa el lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
55,El interés del lector hacia lo que dice el escritor,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
56,Al alma,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
57,La disposición del lector a captar el mensaje transmitido por el escritor.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
58,"Los escritores se encargan de contar fragmentos de historias a sus lectores para trabajar y alimentar la mente y el alma, sin embargo, dichos mensajes llegarán si el lector abre su mente y este está preparado para recibirlo. ",1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
59,Al alma del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
60,El impacto de la frase en el lector depende de su propia interpretación de este.,1,4.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
61,El conocimiento del lector.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
62,La capacidad de aceptación de la persona que recibe la información,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
63,"Entre más abierta sea tu alma, a más personas podrás alcanzar ",1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
64,a las frases,1,1.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
65,"Al ser, ya que éste es el contenedor del alma",1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
66,A la perspectiva de la vida,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
67,A la capacidad intelectual,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
68,El tamaño,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
69,El lector.,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
70,Que tanto el lector aprende,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
71,Que el lector debe tener una mente abierta para aprender sobre los escritores.,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
72,Un texto,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
73,El alma de una persona.,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
74,La capacidad intelectual y emocional del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
75,Que el alcance de las frases dependerá del tipo de público a quién se diriga o apunte.,1,1.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
76,tank,1,0.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
77,Problema,1,0.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
78,La mente.,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
79,La compresión del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
80,La persona,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
81,Que lo que escribimos se ve reflejado en el lector.,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
82,La mente de la persona,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
83,El impacto de lo que se lee depende de cada persona.,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
84,Él escritor hace que el lector quiera leer.,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
85,Un objeto con ciertas dimensiones.,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
86,el conocimiento,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
87,Al espacio en donde se dan las ondas,1,0.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
88,La capacidad mental del lector.,1,3.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
89,Que la interpretación y reacción total de un texto no depende del autor sino del lector.,1,3.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
90,Mente.,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
91,El tamaño del alma de la persona,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
92,La perturbacion del agua,1,0.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
93,Nuestra mente o pensamientos,1,3.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
94,Al corazón,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
95,Depende que tan profundo y analítico sean los textos así impactarán en el lector,1,1.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
96,El impacto que puede causar sus frases en el lector.,1,2.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
97,El lector y su alma,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
98,Al corazón o alma del lector.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
99,El impacto del mensaje recibido depende del mismo receptor.,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
100,Cada frase tiene un impacto diferente en función de quien la interpreta,1,2.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
101,"Con estanque se refiere al la manera de una persona de acojer las frases y  a la espacio donde aquellas ondas fluiran , las ondas llegaran tan lejos como el estanque lo permita.",1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
102,"Aveces el mensaje del autor, puede a llegarnos a impactar más profundamente dependiendo de nuestra situación actual.",1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
103,Al tamaño del alma del lector,1,3.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
104,Que tan profundo puede llegar a ser el mensaje para el lector,1,3.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
105,El conocimiento del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
106,Con ondas se refiere a cuanto afectan esas palabras a quien las lee.,1,3.0,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
107,La capacidad de entender y analizar depende del nivel de aprendizaje del lector.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
108,Alma.,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
109,La forma en que escribe el lector un libro son mensajes que llegan alma de quién las lee dependiendo de lo que esté tiene en su alma y corazón,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
110,Se refiere a que tan educado es el lector,1,2.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
111,La bondad de las personas,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
112,A el alma.,1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
113,El entendimiento del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
114,El alcance del entendimiento del lector,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
115,"Así como escribe, así impacta.",1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
116,la capacidad de aprendizaje de cada lector.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
117,"La mente. Entra mas amplia la mente, las frases tendrán un mayor alcance",1,3.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
118,Una frase puede cambiar a una persona como una piedra perturba un lago,1,1.0,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
119,El estanque se refiere a la capacidad de comprensión que tenga el lector.,1,3.5,1.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
120,El conocimiento,1,2.5,0.0,"Las frases son piedrecillas que el escritor arroja en el alma del lector. El diámetro de las ondas concéntricas que desplazan depende de las dimensiones del estanque. Según el texto, el estanque se refiere a",El mundo del lector
